OBJECTID,Join_Count,TARGET_FID,site_id,site_desc,odotcity,ward,legacy,osu_city,loctype,mv_at,longitude,latitude,hours,moto,bus,workveh,car,truck,totMV,bike,ebike,totbike,ped,escoot,othermicro,tot_roll,totAT,tot_trips,moto_hr,bus_hr,workveh_hr,car_hr,truck_hr,totMV_hr,bike_hr,ebike_hr,totbike_hr,ped_hr,escoot_hr,othermicro_hr,tot_roll_hr,totAT_hr,tot_trips_hr,walkscore,bikescore,FULLNAME,FUNC_CLASS,BIKE_FAC,SHOULDER,MULTIUSE_PATH
34,0,34,204,NW 11th and NW Jackson,city,2,new,osu,intersection,MV_AT,-123.268889,44.567478,2,1,0,5,199,15,220,78,3,81,73,6,5,11,165,385,0,0,2,100,8,110,39,2,40,36,3,2,6,82,192,86,100,NW 11TH ST,LOCAL,Neighborhood Bikeway,,
35,0,35,205,NW Monroe and NW 5th,city,2,legacy,city,intersection,MV_AT,-123.263006,44.564917,2,7,20,26,1210,153,1416,0,0,105,154,7,8,15,274,1690,4,10,13,605,76,708,0,0,52,77,4,4,8,137,845,92,100,SW 5TH ST,COLLECTOR,Bike Lane,no,
36,0,36,205,NW Monroe and NW 5th,city,2,legacy,city,intersection,MV_AT,-123.263006,44.564917,2,7,20,26,1210,153,1416,0,0,105,154,7,8,15,274,1690,4,10,13,605,76,708,0,0,52,77,4,4,8,137,845,92,100,NW 5TH ST,COLLECTOR,Bike Lane,no,
37,0,37,205,NW Monroe and NW 5th,city,2,legacy,city,intersection,MV_AT,-123.263006,44.564917,2,7,20,26,1210,153,1416,0,0,105,154,7,8,15,274,1690,4,10,13,605,76,708,0,0,52,77,4,4,8,137,845,92,100,NW MONROE AVE,COLLECTOR,Bike Lane,no,
38,0,38,205,NW Monroe and NW 5th,city,2,legacy,city,intersection,MV_AT,-123.263006,44.564917,2,7,20,26,1210,153,1416,0,0,105,154,7,8,15,274,1690,4,10,13,605,76,708,0,0,52,77,4,4,8,137,845,92,100,SW MONROE AVE,COLLECTOR,Bike Lane,no,
39,0,39,206,SW Jefferson and SW 6th,city,2,new,city,intersection,MV_AT,-123.265124,44.563181,2,2,26,21,625,62,736,57,3,60,121,3,2,5,186,922,1,13,10,312,31,368,28,2,30,60,2,1,2,93,461,91,100,SW JEFFERSON AVE,COLLECTOR,Bike Lane,no,
40,0,40,206,SW Jefferson and SW 6th,city,2,new,city,intersection,MV_AT,-123.265124,44.563181,2,2,26,21,625,62,736,57,3,60,121,3,2,5,186,922,1,13,10,312,31,368,28,2,30,60,2,1,2,93,461,91,100,SW JEFFERSON AVE,COLLECTOR,Bike Lane,no,
41,0,41,207,SW 11th and SW Washington,city,2,new,osu,intersection,MV_AT,-123.271303,44.562587,2,1,0,21,914,80,1016,56,8,64,426,30,4,34,524,1540,0,0,10,457,40,508,28,4,32,213,15,2,17,262,770,78,100,SW 11TH ST,NEIGHBORCOLLECTOR,Neighborhood Bikeway,,
42,0,42,207,SW 11th and SW Washington,city,2,new,osu,intersection,MV_AT,-123.271303,44.562587,2,1,0,21,914,80,1016,56,8,64,426,30,4,34,524,1540,0,0,10,457,40,508,28,4,32,213,15,2,17,262,770,78,100,SW 11TH ST,NEIGHBORCOLLECTOR,Neighborhood Bikeway,,
43,0,43,208,SW Adams and SW 8th,city,2,new,osu,intersection,MV_AT,-123.267734,44.562761,2,0,1,10,82,7,100,17,2,19,54,2,3,5,78,178,0,0,5,41,4,50,8,1,10,27,1,2,2,39,89,90,100,,,,,
44,0,44,209,NW Tyler and NW 9th,city,2,new,city,intersection,MV_AT,-123.26529,44.569889,2,22,20,56,2435,262,2795,24,4,28,38,2,1,3,69,2864,11,10,28,1218,131,1398,12,2,14,19,1,0,2,34,1432,85,100,NW TYLER AVE,LOCAL,Neighborhood Bikeway,,
45,0,45,209,NW Tyler and NW 9th,city,2,new,city,intersection,MV_AT,-123.26529,44.569889,2,22,20,56,2435,262,2795,24,4,28,38,2,1,3,69,2864,11,10,28,1218,131,1398,12,2,14,19,1,0,2,34,1432,85,100,NW TYLER AVE,LOCAL,Neighborhood Bikeway,,
46,0,46,212,NW 14th and NW Monroe,city,2,legacy,city,intersection,MV_AT,-123.272177,44.567191,2,7,50,69,860,104,1090,182,9,191,218,20,8,28,437,1527,4,25,34,430,52,545,91,4,96,109,10,4,14,218,764,87,100,SW 14TH ST,COLLECTOR,Bike Lane,no,
47,0,47,212,NW 14th and NW Monroe,city,2,legacy,city,intersection,MV_AT,-123.272177,44.567191,2,7,50,69,860,104,1090,182,9,191,218,20,8,28,437,1527,4,25,34,430,52,545,91,4,96,109,10,4,14,218,764,87,100,NW MONROE AVE,COLLECTOR,Bike Lane,no,
48,0,48,212,NW 14th and NW Monroe,city,2,legacy,city,intersection,MV_AT,-123.272177,44.567191,2,7,50,69,860,104,1090,182,9,191,218,20,8,28,437,1527,4,25,34,430,52,545,91,4,96,109,10,4,14,218,764,87,100,NW MONROE AVE,COLLECTOR,Bike Lane,no,
49,1,49,213,SW B and SW Western and Riverfront MUP,city,2,new,city,intersection,MV_AT,-123.261295,44.558893,1,0,0,0,3,0,3,0,0,14,13,0,2,2,29,32,0,0,0,3,0,3,0,0,14,13,0,2,2,29,32,81,85,,,,,1
50,0,50,301,SE Rivergreen and SE Summerfield,city,3,new,city,intersection,MV_AT,-123.260756,44.531082,2,2,9,11,475,44,541,13,5,18,30,2,1,3,51,592,1,4,6,238,22,270,6,2,9,15,1,0,2,26,296,3,80,SE RIVERGREEN AVE,NEIGHBORCOLLECTOR,Bike Lane,no,
51,0,51,301,SE Rivergreen and SE Summerfield,city,3,new,city,intersection,MV_AT,-123.260756,44.531082,2,2,9,11,475,44,541,13,5,18,30,2,1,3,51,592,1,4,6,238,22,270,6,2,9,15,1,0,2,26,296,3,80,SE RIVERGREEN AVE,NEIGHBORCOLLECTOR,Bike Lane,no,
52,0,52,302,SE Park Ave. and SE Thompson and SE Park Place,city,3,new,city,intersection,MV_AT,-123.260413,44.538698,2,0,6,7,114,15,142,9,4,13,19,1,0,1,33,175,0,3,4,57,8,71,4,2,6,10,0,0,0,16,88,27,83,,,,,
53,0,53,303,SW Wake Robin,city,3,new,city,street,MV_AT,-123.266917,44.538043,2,0,10,18,126,22,176,0,0,3,10,0,0,0,13,189,0,5,9,63,11,88,0,0,2,5,0,0,0,6,94,41,87,,,,,
54,0,54,304,SW Tunison,city,3,new,city,street,MV_AT,-123.266228,44.543443,2,2,7,9,176,27,221,5,3,8,23,0,1,1,32,253,1,4,4,88,14,110,2,2,4,12,0,0,0,16,126,64,93,,,,,
55,0,55,305,SE Viewmont and SE Thompson,city,3,new,city,intersection,MV_AT,-123.260444,44.543635,2,1,3,7,117,10,138,0,0,25,54,0,0,0,79,217,0,2,4,58,5,69,0,0,12,27,0,0,0,40,108,53,84,,,,,
56,0,56,306,SE Alexander and SE Stone,city,3,new,city,intersection,MV_AT,-123.260747,44.545236,2,0,8,3,212,24,247,0,0,14,40,0,0,0,54,301,0,4,2,106,12,124,0,0,7,20,0,0,0,27,150,57,86,,,,,
57,0,57,307,SE Bethel and SE Bridgeway,city,3,new,city,intersection,MV_AT,-123.258709,44.550264,2,0,4,4,86,14,108,32,7,39,26,0,0,0,65,173,0,2,2,43,7,54,16,4,20,13,0,0,0,32,86,35,86,,,,,
58,1,58,308,SE Crystal Lake and Eric Austin MUP and EA Path,city,3,new,city,intersection,MV_AT,-123.262017,44.552277,2,2,14,18,504,50,588,50,3,53,14,3,1,4,71,659,1,7,9,252,25,294,25,2,26,7,2,0,2,36,330,60,94,SE CRYSTAL LAKE DR,COLLECTOR,Bike Lane,no,1
59,0,59,309,SE Crystal Lake and SE Alexander,city,3,new,city,intersection,MV_AT,-123.255598,44.545261,2,0,0,13,150,23,186,0,0,43,28,2,0,2,73,259,0,0,6,75,12,93,0,0,22,14,1,0,1,36,130,31,73,SE CRYSTAL LAKE DR,COLLECTOR,Bike Lane,no,
60,0,60,310,OR99W near SE Goodnight,odot,3,new,city,street,AT,-123.266803,44.536387,2,0,0,0,0,0,4258,0,0,13,12,0,0,0,25,4283,0,0,0,0,0,2129,0,0,6,6,0,0,0,12,2142,34,87,SE 3RD ST/HWY 99W,ARTERIALHWY,Bike Lane,no,
61,0,61,310,OR99W near SE Goodnight,odot,3,new,city,street,AT,-123.266803,44.536387,2,0,0,0,0,0,4258,0,0,13,12,0,0,0,25,4283,0,0,0,0,0,2129,0,0,6,6,0,0,0,12,2142,34,87,SE 3RD ST/HWY 99W,ARTERIALHWY,Bike Lane,no,
62,0,62,310,OR99W near SE Goodnight,odot,3,new,city,street,AT,-123.266803,44.536387,2,0,0,0,0,0,4258,0,0,13,12,0,0,0,25,4283,0,0,0,0,0,2129,0,0,6,6,0,0,0,12,2142,34,87,SW 3RD ST/HWY 99W,ARTERIALHWY,Bike Lane,no,
63,0,63,310,OR99W near SE Goodnight,odot,3,new,city,street,AT,-123.266803,44.536387,2,0,0,0,0,0,4258,0,0,13,12,0,0,0,25,4283,0,0,0,0,0,2129,0,0,6,6,0,0,0,12,2142,34,87,SW 3RD ST/HWY 99W,ARTERIALHWY,Bike Lane,no,
64,0,64,311,OR99W and SE Alexander,odot,3,legacy,city,intersection,AT,-123.265852,44.545193,2,0,0,0,0,0,3184,24,9,33,20,2,0,2,55,3239,0,0,0,0,0,1592,12,4,16,10,1,0,1,28,1620,64,94,SE 3RD ST/HWY 99W,ARTERIALHWY,Bike Lane,no,
65,0,65,311,OR99W and SE Alexander,odot,3,legacy,city,intersection,AT,-123.265852,44.545193,2,0,0,0,0,0,3184,24,9,33,20,2,0,2,55,3239,0,0,0,0,0,1592,12,4,16,10,1,0,1,28,1620,64,94,SE 3RD ST/HWY 99W,ARTERIALHWY,Bike Lane,no,
66,0,66,311,OR99W and SE Alexander,odot,3,legacy,city,intersection,AT,-123.265852,44.545193,2,0,0,0,0,0,3184,24,9,33,20,2,0,2,55,3239,0,0,0,0,0,1592,12,4,16,10,1,0,1,28,1620,64,94,SW 3RD ST/HWY 99W,ARTERIALHWY,Bike Lane,no,
67,0,67,311,OR99W and SE Alexander,odot,3,legacy,city,intersection,AT,-123.265852,44.545193,2,0,0,0,0,0,3184,24,9,33,20,2,0,2,55,3239,0,0,0,0,0,1592,12,4,16,10,1,0,1,28,1620,64,94,SW 3RD ST/HWY 99W,ARTERIALHWY,Bike Lane,no,
68,0,68,312,OR99W and SE Crystal Lake,odot,3,legacy,city,intersection,AT,-123.265149,44.551939,4,0,0,0,0,0,7019,68,6,175,60,12,1,13,248,7267,0,0,0,0,0,1755,17,2,44,15,3,0,3,62,1817,66,95,SW AVERY AVE,COLLECTOR,Bike Lane,no,
69,0,69,312,OR99W and SE Crystal Lake,odot,3,legacy,city,intersection,AT,-123.265149,44.551939,4,0,0,0,0,0,7019,68,6,175,60,12,1,13,248,7267,0,0,0,0,0,1755,17,2,44,15,3,0,3,62,1817,66,95,SE CRYSTAL LAKE DR,COLLECTOR,Bike Lane,no,
70,0,70,312,OR99W and SE Crystal Lake,odot,3,legacy,city,intersection,AT,-123.265149,44.551939,4,0,0,0,0,0,7019,68,6,175,60,12,1,13,248,7267,0,0,0,0,0,1755,17,2,44,15,3,0,3,62,1817,66,95,SE 3RD ST/HWY 99W,ARTERIALHWY,Bike Lane,no,
71,0,71,312,OR99W and SE Crystal Lake,odot,3,legacy,city,intersection,AT,-123.265149,44.551939,4,0,0,0,0,0,7019,68,6,175,60,12,1,13,248,7267,0,0,0,0,0,1755,17,2,44,15,3,0,3,62,1817,66,95,SE 3RD ST/HWY 99W,ARTERIALHWY,Bike Lane,no,
72,0,72,312,OR99W and SE Crystal Lake,odot,3,legacy,city,intersection,AT,-123.265149,44.551939,4,0,0,0,0,0,7019,68,6,175,60,12,1,13,248,7267,0,0,0,0,0,1755,17,2,44,15,3,0,3,62,1817,66,95,SW 3RD ST/HWY 99W,ARTERIALHWY,Bike Lane,no,
73,0,73,312,OR99W and SE Crystal Lake,odot,3,legacy,city,intersection,AT,-123.265149,44.551939,4,0,0,0,0,0,7019,68,6,175,60,12,1,13,248,7267,0,0,0,0,0,1755,17,2,44,15,3,0,3,62,1817,66,95,SW 3RD ST/HWY 99W,ARTERIALHWY,Bike Lane,no,
74,0,74,313,SE Lilly,city,3,new,city,street,MV_AT,-123.265037,44.547964,2,0,0,14,126,9,149,5,2,7,10,0,0,0,17,166,0,0,7,63,4,74,2,1,4,5,0,0,0,8,83,64,95,,,,,
75,0,75,314,SE Bridgeway,city,3,new,city,street,MV_AT,-123.264871,44.54981,2,2,0,2,53,4,61,0,0,6,4,0,0,0,10,71,1,0,1,26,2,30,0,0,3,2,0,0,0,5,36,63,95,,,,,
76,0,76,315,SE Goodnight and SE River Park and  SE Deborah,city,3,new,city,intersection,MV_AT,-123.262264,44.536721,2,1,12,16,127,13,169,0,0,10,39,0,0,0,49,218,0,6,8,64,6,84,0,0,5,20,0,0,0,24,109,24,82,SE GOODNIGHT AVE,NEIGHBORCOLLECTOR,Bike Lane,no,
77,0,77,315,SE Goodnight and SE River Park and  SE Deborah,city,3,new,city,intersection,MV_AT,-123.262264,44.536721,2,1,12,16,127,13,169,0,0,10,39,0,0,0,49,218,0,6,8,64,6,84,0,0,5,20,0,0,0,24,109,24,82,SE GOODNIGHT AVE,NEIGHBORCOLLECTOR,Bike Lane,no,
78,0,78,401,SW Western and SW 15th,city,4,new,osu,intersection,MV_AT,-123.273983,44.559854,2,7,43,136,1587,139,1912,90,7,97,183,21,2,23,303,2215,4,22,68,794,70,956,45,4,48,92,10,1,12,152,1108,72,99,SW 15TH ST,COLLECTOR,Bike Lane,no,
79,0,79,401,SW Western and SW 15th,city,4,new,osu,intersection,MV_AT,-123.273983,44.559854,2,7,43,136,1587,139,1912,90,7,97,183,21,2,23,303,2215,4,22,68,794,70,956,45,4,48,92,10,1,12,152,1108,72,99,SW 15TH ST,COLLECTOR,Bike Lane,no,
80,0,80,401,SW Western and SW 15th,city,4,new,osu,intersection,MV_AT,-123.273983,44.559854,2,7,43,136,1587,139,1912,90,7,97,183,21,2,23,303,2215,4,22,68,794,70,956,45,4,48,92,10,1,12,152,1108,72,99,SW WESTERN BLVD,ARTERIAL,Bike Lane,no,
81,0,81,401,SW Western and SW 15th,city,4,new,osu,intersection,MV_AT,-123.273983,44.559854,2,7,43,136,1587,139,1912,90,7,97,183,21,2,23,303,2215,4,22,68,794,70,956,45,4,48,92,10,1,12,152,1108,72,99,SW WESTERN BLVD,ARTERIAL,Bike Lane,no,
82,0,82,402,SW 11th and SW C,city,4,new,city,intersection,MV_AT,-123.27086,44.559171,2,1,1,3,106,9,120,21,2,23,47,6,0,6,76,196,0,0,2,53,4,60,10,1,12,24,3,0,3,38,98,73,92,SW 11TH ST,LOCAL,Neighborhood Bikeway,,
83,0,83,402,SW 11th and SW C,city,4,new,city,intersection,MV_AT,-123.27086,44.559171,2,1,1,3,106,9,120,21,2,23,47,6,0,6,76,196,0,0,2,53,4,60,10,1,12,24,3,0,3,38,98,73,92,SW 11TH ST,LOCAL,Neighborhood Bikeway,,
84,0,84,404,NW 30th and SW Jackson,city,4,new,osu,intersection,MV_AT,-123.284631,44.569749,2,8,12,30,842,82,974,78,3,81,130,2,3,5,216,1190,4,6,15,421,41,487,39,2,40,65,1,2,2,108,595,63,100,NW 30TH ST,NEIGHBORCOLLECTOR,Bike Lane,no,
85,0,85,405,SW 35th and SW Campus,city,4,new,osu,intersection,MV_AT,-123.2897,44.566809,2,1,5,8,377,56,447,92,6,98,134,11,1,12,244,691,0,2,4,188,28,224,46,3,49,67,6,0,6,122,346,39,92,SW 35TH ST,ARTERIAL,Bike Lane,no,
86,0,86,405,SW 35th and SW Campus,city,4,new,osu,intersection,MV_AT,-123.2897,44.566809,2,1,5,8,377,56,447,92,6,98,134,11,1,12,244,691,0,2,4,188,28,224,46,3,49,67,6,0,6,122,346,39,92,SW 35TH ST,ARTERIAL,Bike Lane,no,
87,0,87,405,SW 35th and SW Campus,city,4,new,osu,intersection,MV_AT,-123.2897,44.566809,2,1,5,8,377,56,447,92,6,98,134,11,1,12,244,691,0,2,4,188,28,224,46,3,49,67,6,0,6,122,346,39,92,SW 35TH ST,ARTERIAL,Bike Lane,no,
88,0,88,406,SW 35th and SW Washington,city,4,new,osu,intersection,MV_AT,-123.289694,44.562051,2,0,0,13,3,0,16,0,0,75,124,3,16,19,218,234,0,0,6,2,0,8,0,0,38,62,2,8,10,109,117,25,87,SW 35TH ST,ARTERIAL,Bike Lane,no,
89,0,89,406,SW 35th and SW Washington,city,4,new,osu,intersection,MV_AT,-123.289694,44.562051,2,0,0,13,3,0,16,0,0,75,124,3,16,19,218,234,0,0,6,2,0,8,0,0,38,62,2,8,10,109,117,25,87,SW 35TH ST,ARTERIAL,Bike Lane,no,
90,0,90,407,SW 35th and NW Harrison,city,4,new,osu,intersection,MV_AT,-123.289714,44.571714,4,20,38,127,2781,337,3303,52,7,147,126,21,7,28,301,3604,5,10,32,695,84,826,13,2,37,32,5,2,7,75,901,41,94,NW 35TH ST,ARTERIAL,Bike Lane,no,
91,0,91,407,SW 35th and NW Harrison,city,4,new,osu,intersection,MV_AT,-123.289714,44.571714,4,20,38,127,2781,337,3303,52,7,147,126,21,7,28,301,3604,5,10,32,695,84,826,13,2,37,32,5,2,7,75,901,41,94,NW HARRISON BLVD,ARTERIAL,Bike Lane,no,
